ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
225 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
226 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
227 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
228 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
229 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
230 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
231 'Exp_60_38_C001H001S0001' 39.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
232 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
233 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
234 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
235 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
236 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
237 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
238 'Exp_60_39_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
239 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
240 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
241 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
242 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
243 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
244 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
245 'Exp_60_40_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
246 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
247 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
248 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
249 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
250 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
251 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
252 'Exp_60_41_C001H001S0001' 37.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
253 'Exp_60_42_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
254 'Exp_60_42_C001H001S0001' 35.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
255 'Exp_60_42_C001H001S0001' 35.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
256 'Exp_60_42_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
